[   0.00 -    9.80] telling stories. That's three claims. Two of them have no evidence, not thin evidence,
[   9.80 -   16.34] not contested evidence, none. And the one that's left standing is so much stranger than the
[  16.34 -   22.92] story that I genuinely don't understand why anyone bothered making the story up.
[  22.92 -   30.16] Part one, the animals that weren't there. Start with the predators because this one's
[  30.16 -   38.36] almost funny. The idea is everywhere. Night was lethal. Big cats hunted in the dark. So
[  38.36 -   44.88] we built fires to hold them off. And the fire made us human. You'll find it in the textbooks.
[  44.88 -   55.04] You'll find it in a nature paper from this year. All right. I'm starting from the beginning.
[  55.04 -   68.72] I was in the middle of reading. What did humans do at night? The sun goes down and for the
[  68.72 -   78.28] next 12 hours, you can't work. You can't forage. You can't hunt. You can't dig. You can't walk
[  78.28 -   88.36] anywhere that isn't memorized. You can barely see your own hands for 200,000 years. That
[  88.36 -   98.56] was half of your life. Half. So what did you do? You already know the answer because you've
[  98.56 -  105.58] seen it in every documentary ever made. You huddled around a fire because the fire kept
[ 105.58 -  116.08] the animals away. And that's where we started telling stories. That's three claims. Two
[ 288.24 -  296.48] night, there is a review of every method tried over 26 years, reinforced closures, guard dogs,
[ 296.48 -  305.84] shot collars, flashing lights, fires and on the list. Second claim, the one you've felt
[ 305.84 -  313.20] in your bones at 2am that our ancestors slept properly, long and deep and whole. And then we
[ 313.20 -  319.76] invented the light bulb and ruin ourselves. So somebody went and measured it through societies
[ 319.76 -  327.68] without electricity, the Hadza in Tanzania, the sand in the media, the Samani in Bolivia, 94 people,
[ 327.76 -  339.52] 1165 nights. They slept 5.7 to 7.1 hours. That's you. That's your Tuesday. That's the amount of
[ 339.52 -  347.68] sleep you feel guilty about. They wake up in the night too, about 80 minutes worth on average.
[ 348.88 -  355.44] They're not sleeping some lost perfect sleep, but here's the twist. And it's the good kind.
[ 355.44 -  361.68] Chronic insomnia runs at 10 to 30% in industrial societies. Among these groups,
[ 361.68 -  368.80] the researchers put it at 1.5 to 2.5%. Two of the language is don't have a word for it.
[ 370.16 -  375.12] So it isn't that they get more sleep. It's that sleep isn't a problem.
[ 376.80 -  383.20] It isn't a thing you fail at. Nobody there is lying awake at 3am calculating how many hours
[ 383.20 -  389.44] they have left before the alarm, which is, I'd argue, the single most modern activity
[ 389.44 -  397.04] a human being can perform. The researchers own conclusion, and I want to read it exactly because
[ 397.04 -  403.12] it torches an entire industry. Now you may have heard we used to sleep in two shifts.
[ 403.92 -  411.76] First sleep, wake for an hour, second sleep. That's real history. Roger Ekerch found thousands
[ 411.76 -  416.96] of references to it in old European texts, and he's defended it hard for 20 years.
[ 417.92 -  423.52] The equatorial groups don't do it, but a non-electric farming community, Madagascar,
[ 423.52 -  431.12] does segmented straight out of the historical record. So the fight's still live, and the
[ 431.12 -  437.76] best answer on the table is beautifully simple. It might just be night length, 12 hour equatorial
[ 437.76 -  444.16] nights, you sleep once, 14 hour European winter nights, you split. Not a lost human
[ 444.16 -  452.40] birthright, just how much dark you were handed. So no predator evidence, no lost golden sleep,
[ 453.28 -  459.44] which leaves the third claim, the stories, and this one is real. And it's measured,
[ 460.40 -  462.48] and it's the best number I've found in years.
[ 462.48 -  471.44] In 1974, an anthropologist named Polly Weisner sat down with the Juhosni in Botswana and did
[ 471.44 -  476.72] something almost nobody does. She wrote down what people talked about by day and by night,
[ 477.36 -  487.20] 174 conversations. Daytime, people talked about, complaints, criticism,
[ 487.20 -  497.60] who's not pulling their weight? 34%. Economics, foraging plans, who's going where, what's ripe?
[ 498.40 -  514.24] 31%. Jokes, 16. Stories, about 6%. Now the sun goes down. Stories, 81%.
[ 514.72 -  522.72] Complaints collapsed to seven. Economics to four. Same people, same day, same mouths.
[ 523.44 -  526.88] The sun goes down and they stop being colleagues and start being a culture.
[ 527.84 -  531.68] Two things honestly before anyone screams in the comments and you'd be right too.
[ 532.80 -  540.00] That 81% is from the long conversations. The big group ones, and she went looking for those.
[ 540.72 -  543.92] And her field work ran through an unusually dry, hungry stretch.
[ 544.80 -  550.80] She lists both and she lists five other limitations too. She's the one who flagged them.
[ 552.72 -  559.68] And then there's the fact that stopped me cold. Back to the Hadza. 33 people wired up
[ 559.68 -  564.88] 20 nights and the researchers went looking for a simple thing. How often is everybody asleep at
[ 564.88 -  570.72] the same time? Out of 20 nights, out of tens of thousands of minutes, the number of moments
[ 570.72 -  581.52] when every single person was asleep at night, all at once was 18, 18 minutes in 20 nights.
[ 583.04 -  591.76] Someone was awake 99.8% of the time, usually about eight people. Now,
[ 591.76 -  597.28] nobody organized this. There's no Rota. Nobody's on watch. Ask them and they'll tell you they're
[ 597.28 -  603.04] just sleeping. It happens because chronotype drifts with age. Old people wake early, young
[ 603.04 -  608.00] people go to bed late, but three generations around one fire and the coverage is total
[ 608.00 -  614.48] automatically forever without a single person intending it. Your grandmother isn't a bad sleeper.
[ 615.84 -  620.88] She's the night watch. And that is the thing I want you to take out of here.
[ 621.76 -  628.40] Because it's the shape, the shape of this whole channel. Nobody designed that. There was no plan,
[ 628.40 -  633.60] no chief, no meeting, just a bunch of ordinary bodies with slightly different clocks. And out
[ 633.60 -  638.96] of the other end comes a solution better than one you have engineered. You'd have engineered.
[ 639.76 -  644.56] That's not a story about sleep. That's how almost everything about us got built.
[ 646.24 -  651.60] So what did ancient humans do at night? They slept about as badly as you do. They probably
[ 651.60 -  656.40] weren't fighting off lines with sticks of fire. And if they were, nobody's ever managed to show it.
[ 657.52 -  664.72] What they did was talk. And the only reason we can say this is that somebody bothered to count
[ 664.72 -  672.48] in one place, 52 nights in 1974. And here's where I have to stop because Weissner does.
[ 673.52 -  678.56] She's blown about it. Data for modern foragers cannot be projected back in the past.
[ 679.44 -  686.32] She said it plainer to a reporter. We can't tell about the past from the Bushman. She's right.
[ 686.32 -  691.12] I'm not going to tell you that this is where the human mind was born because I can't know that.
[ 691.12 -  697.28] Neither can anyone selling you that sentence. But I'll tell you what the night is. Structurally,
[ 697.84 -  704.72] and this part isn't a theory. It's geometry. It's the only stretch of the day. You cannot work.
[ 704.72 -  710.08] You cannot forge in the dark. You can't gather. The fire is not good enough light to make anything
[ 710.08 -  718.32] decent. It's the only time you're not to use. You're no use to anybody. And what happens in
[ 718.32 -  726.56] the hours when you're no use to anybody, 6% versus 81 is that you stop dealing with each other
[ 727.44 -  736.24] and you start telling each other 200,000 years of that. If you've ever noticed you're a different
[ 736.24 -  742.32] person at 11 at night than at 11 in the morning, softer, stranger, more honest,
[ 742.32 -  749.76] more likely to say the true thing. That's not a modern problem. That's the oldest room we have.
[ 749.76 -  758.72] Next time somebody pressed their hands against a wall 67,800 years ago and filed the fingertips
[ 758.72 -  772.64] into clause first. Done.
[ 809.76 -  814.64] Okay.
